transfer_code,title,status,reason,transfer_id,target_collection,existing_collection,from_csv,to_csv,from_city_resolved,to_city_resolved,from_city_lookup,to_city_lookup,city_csv,city_resolved,country_csv,country_resolved,price_rows,slab_count,cache_price,cache_markup_price,mode
ATRA_57820,One way transfer from Tokyo City Centre/Shinjuku Hotel to Narita Airport,updated,,6a070e18172e88275d027177,within_city_transfer,within_city_transfer,Tokyo City Centre / Shinjuku Hotel,Narita Airport,,,,,Tokyo,Tokyo,Japan,Japan,4,4,4291.35,643.7,live
ATRA_57829,One way transfer from Haneda Airport to Tokyo City Centre Hotel,updated,,6a070e18172e88275d02717c,within_city_transfer,within_city_transfer,Haneda Airport,Tokyo City Centre Hotel,,,,,Tokyo,Tokyo,Japan,Japan,4,4,2682.09,402.31,live
ATRA_57821,One way transfer from Kansai International Airport to Osaka City / Namba / Umeda,updated,,6a070e18172e88275d027181,within_city_transfer,within_city_transfer,Kansai Airport,Osaka City / Namba / Umeda,,,,,Osaka,Osaka,Japan,Japan,4,4,3413.57,512.04,live
ATRA_57822,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,updated,,6a070e18172e88275d027186,within_city_transfer,within_city_transfer,Osaka City / Namba / Umeda,Kansai Airport,,,,,Osaka,Osaka,Japan,Japan,4,4,3413.57,512.04,live
ATRA_57823,One way transfer from Osaka Itami Airport to Osaka City Centre,updated,,6a070e18172e88275d02718b,within_city_transfer,within_city_transfer,Osaka Itami Airport,Osaka City Centre,,,,,Osaka,Osaka,Japan,Japan,4,4,2682.09,402.31,live
ATRA_57824,One way transfer from Osaka City Centre to Osaka Itami Airport,updated,,6a070e19172e88275d027190,within_city_transfer,within_city_transfer,Osaka City Centre,Osaka Itami Airport,,,,,Osaka,Osaka,Japan,Japan,4,4,2682.09,402.31,live
ATRA_57825,One way transfer from Kyoto Railway Station to Kyoto City Centre Hotel,updated,,6a070e19172e88275d027195,within_city_transfer,within_city_transfer,Kyoto Railway Station,Kyoto City Centre Hotel,,,,,Kyoto,Kyoto,Japan,Japan,3,3,1950.61,292.59,live
ATRA_57826,One way transfer from Kyoto City Centre Hotel to Kyoto Railway Station,updated,,6a070e19172e88275d027199,within_city_transfer,within_city_transfer,Kyoto City Centre Hotel,Kyoto Railway Station,,,,,Kyoto,Kyoto,Japan,Japan,3,3,1950.61,292.59,live
ATRA_57827,One way transfer from Kansai International Airport to Kyoto City Centre Hotel,updated,,6a070e19172e88275d02719d,within_city_transfer,within_city_transfer,Kansai Airport,Kyoto City Centre Hotel,,,,,"Osaka, Kyoto","Osaka, Kyoto",Japan,Japan,3,3,5851.84,877.78,live
ATRA_57828,One way transfer from Kyoto City Centre Hotel to Kansai International Airport,updated,,6a070e19172e88275d0271a1,within_city_transfer,within_city_transfer,Kyoto City Centre Hotel,Kansai Airport,,,,,"Kyoto, Osaka","Kyoto, Osaka",Japan,Japan,3,3,5851.84,877.78,live
R1,Train from Tokyo to Nagoya(Reserved Category),updated,,6a159707cc64b7775ffc932f,across_city_transfer,across_city_transfer,Tokyo,Nagoya,Tokyo,Nagoya,from,to,Tokyo,,Japan,Japan,3,3,7802.46,1170.37,live
R2,Train from Tokyo to Nagona(Reserved Category),updated,,6a168e83494d96a3c0726754,across_city_transfer,across_city_transfer,Tokyo,Nagano,Tokyo,Nagano,from,to,Tokyo,,Japan,Japan,3,3,5851.84,877.78,live
R3,Train from Tokyo to Kanazawa(Reserved Category),updated,,6a159708cc64b7775ffc9333,across_city_transfer,across_city_transfer,Tokyo,Kanazawa,Tokyo,Kanazawa,from,to,Tokyo,,Japan,Japan,3,3,10143.19,1521.48,live
R4,Train from Nagoya to Kyoto(Reserved Category),updated,,6a159708cc64b7775ffc9337,across_city_transfer,across_city_transfer,Nagoya,Kyoto,Nagoya,Kyoto,from,to,Nagoya,,Japan,Japan,3,3,3998.76,599.81,live
R5,Train from Nagoya to Osaka(Reserved Category),updated,,6a159708cc64b7775ffc933b,across_city_transfer,across_city_transfer,Nagoya,Osaka,Nagoya,Osaka,from,to,Nagoya,,Japan,Japan,3,3,4583.94,687.59,live
R6,Train from Kanazawa to Tsuruga (Reserved Category),updated,,6a168f833ab47ae61defc780,across_city_transfer,across_city_transfer,Kanazawa,Tsuruga,Kanazawa,Tsuruga,from,to,Kanazawa,,Japan,Japan,3,3,3706.17,555.93,live
R7,Train from Nagano to Nagoya (Reserved Category),updated,,6a168e83494d96a3c0726761,across_city_transfer,across_city_transfer,Nagano,Nagoya,Nagano,Nagoya,from,to,Nagano,,Japan,Japan,3,3,5169.13,775.37,live
R8,Train from Tsuruga to Kyoto(Reserved Category),updated,,6a168f833ab47ae61defc787,across_city_transfer,across_city_transfer,Tsuruga,Kyoto,Tsuruga,Kyoto,from,to,Tsuruga,,Japan,Japan,3,3,2243.21,336.48,live
R9,Train from Tsuruga to Shin Osaka(Reserved Category),updated,,6a168f833ab47ae61defc78b,across_city_transfer,across_city_transfer,Tsuruga,Shin Osaka,Tsuruga,Shin Osaka,from,to,Tsuruga,,Japan,Japan,3,3,3218.51,482.78,live
R10,Train from Tokyo to Hiroshima Shinkasen(Reserved Category),updated,,6a168f833ab47ae61defc78f,across_city_transfer,across_city_transfer,Tokyo,Hiroshima Shinkasen,Tokyo,Hiroshima Shinkasen,from,to,Tokyo,,Japan,Japan,3,3,13751.83,2062.77,live
R11,Train from Kyoto to Hiroshima Shinkasen(Reserved Category),updated,,6a168f843ab47ae61defc793,across_city_transfer,across_city_transfer,Kyoto,Hiroshima Shinkasen,Kyoto,Hiroshima Shinkasen,from,to,Kyoto,,Japan,Japan,3,3,8290.11,1243.52,live
R12,Train from Shin Osaka to Hiroshima Shinkasen(Reserved Category),updated,,6a168f843ab47ae61defc797,across_city_transfer,across_city_transfer,Shin Osaka,Hiroshima Shinkasen,Shin Osaka,Hiroshima Shinkasen,from,to,Osaka,,Japan,Japan,3,3,7607.39,1141.11,live
T1,One way transfer from Haneda Airport to Narita Airport,updated,,6a168e83494d96a3c0726765,within_city_transfer,within_city_transfer,Handeda Airport,Narita Airport,,,,,Tokyo,Tokyo,Japan,Japan,4,4,4876.53,731.48,live
T2,One way transfer from Tokyo Hotel(Shinjuku/Shibuya) to Tokyo Station,updated,,6a159708cc64b7775ffc933f,within_city_transfer,within_city_transfer,Tokyo Hotel(Shinjuku/Shibuya),Tokyo Station,,,,,Tokyo,Tokyo,Japan,Japan,4,4,2682.09,402.31,live
T3,One way transfer from Naha Airport to Naha Hotel(Kokusai Dori / Makishi / Kumoji),updated,,6a168e83494d96a3c072676e,within_city_transfer,within_city_transfer,Naha Airport,Naha Hotel(Kokusai Dori / Makishi / Kumoji),,,,,Naha,Naha,Japan,Japan,4,4,2877.16,431.57,live
T4,One way transfer from Osaka City / Namba / Umeda to Shin Osaka Station,updated,,6a159708cc64b7775ffc9344,within_city_transfer,within_city_transfer,Osaka City / Namba / Umeda,Shin Osaka Station,,,,,Osaka,Osaka,Japan,Japan,4,4,3413.57,512.04,live
T5,One way transfer from Osaka City / Namba / Umeda to Universal Studios,updated,,6a159709cc64b7775ffc9349,within_city_transfer,within_city_transfer,Osaka City / Namba / Umeda,Universal Studios,,,,,Osaka,Osaka,Japan,Japan,4,4,3413.57,512.04,live
T6,One way transfer from Kyoto(Kawaramachi/Gion/Shijo) to Osaka Hotel(Osaka City / Namba / Umeda),updated,,6a168e84494d96a3c072677b,across_city_transfer,across_city_transfer,Kyoto(Kawaramachi/Gion/Shijo),Osaka Hotel(Osaka City / Namba / Umeda),Kyoto,Osaka,from_city,to_city,Kyoto,,Japan,Japan,4,4,11947.51,1792.13,live
T7,One way transfer from Osaka Itami Airport to  Kyoto Hotel (Kawaramachi/Gion/Shijo),updated,,6a168e84494d96a3c0726780,across_city_transfer,across_city_transfer,Osaka Itami Airport,Kyoto Hotel(Kawaramachi/Gion/Shijo),Osaka,Kyoto,from_city,to_city,Osaka,,Japan,Japan,4,4,11947.51,1792.13,live
T8,One way transfer from Chitose Airport to Sapporo Hotel(Odori Park/Susukino),updated,,6a168f853ab47ae61defc7b7,across_city_transfer,across_city_transfer,Chitose Airport,Sapporo Hotel(Odori Park/Susukino),Chitose,Sapporo,from_city,to_city,Chitose,,Japan,Japan,4,4,4876.53,731.48,live
T9,One way transfer from Komatsu Airport to Kanazawa HotelCity Centre(Korinbo/Katamachi),updated,,6a168f853ab47ae61defc7bc,across_city_transfer,across_city_transfer,Komatsu Airport,Kanazawa HotelCity Centre(Korinbo/Katamachi),Komatsu,Kanazawa,from_city,to_city,Komatsu,,Japan,Japan,4,4,12532.69,1879.9,live
T10,One way transfer from Narita Airport to Hakone City Centre Hotel(Yumoto/Gora/Lake Ashi),updated,,6a168e84494d96a3c0726785,within_city_transfer,within_city_transfer,Narita Airport,Hakone City Centre Hotel(Yumoto/Gora/Lake Ashi),,,,,Tokyo,Tokyo,Japan,Japan,4,4,12678.99,1901.85,live
T11,One way transfer from Matsuyama Airport to Matsuyama City Centre Hotel(Okaido/Dogo Onsen),updated,,6a168f853ab47ae61defc7c5,within_city_transfer,within_city_transfer,Matsuyama Airport,Matsuyama City Centre Hotel(Okaido/Dogo Onsen),,,,,Matsuyama,Matsuyama,Japan,Japan,3,3,45205.48,6780.82,live
T12,One way transfer from Tokyo Station to Tokyo Hotel(Shinjuku/Shibuya),updated,,6a2123134608f7d99aca3e21,within_city_transfer,within_city_transfer,Tokyo Station,Tokyo Hotel(Shinjuku/Shibuya),,,,,Tokyo,Tokyo,Japan,Japan,4,4,2682.09,402.31,live
T13,One way transfer from Universal Studios to Osaka City / Namba / Umeda,updated,,6a2123134608f7d99aca3e26,within_city_transfer,within_city_transfer,Universal Studios,Osaka City / Namba / Umeda,,,,,Osaka,Osaka,Japan,Japan,4,4,3413.57,512.04,live
T14,One way transfer from Tokyo Hotel(Shinjuku/Shibuya) to Tokyo Disney Resort,updated,,6a2123134608f7d99aca3e2b,within_city_transfer,within_city_transfer,Tokyo Hotel(Shinjuku/Shibuya),Tokyo Disney Resort,,,,,Tokyo,Tokyo,Japan,Japan,4,4,3316.04,497.41,live
T15,One way transfer from  Tokyo Disney Resort to Tokyo Hotel(Shinjuku/Shibuya),updated,,6a2123134608f7d99aca3e30,within_city_transfer,within_city_transfer,Tokyo Disney Resort,Tokyo Hotel(Shinjuku/Shibuya),,,,,Tokyo,Tokyo,Japan,Japan,4,4,3316.04,497.41,live
R13,Train from Kyoto to Osaka(Green Car),updated,,6a2123144608f7d99aca3e35,across_city_transfer,across_city_transfer,Kyoto,Osaka,Kyoto,Osaka,from,to,Kyoto,,Japan,Japan,3,3,2535.8,380.37,live
R14,Train from Osaka to Kyoto(Green Car),updated,,6a2123144608f7d99aca3e39,across_city_transfer,across_city_transfer,Osaka,Kyoto,Osaka,Kyoto,from,to,Osaka,,Japan,Japan,3,3,2535.8,380.37,live
R15,Train from Osaka to Tokyo(Green Car),updated,,6a2123144608f7d99aca3e3d,across_city_transfer,across_city_transfer,Osaka,Tokyo,Osaka,Tokyo,from,to,Osaka,,Japan,Japan,3,3,12191.34,1828.7,live
R16,Train from Tokyo to Kyoto(Green Car),updated,,6a2123144608f7d99aca3e41,across_city_transfer,across_city_transfer,Tokyo,Kyoto,Tokyo,Kyoto,from,to,Tokyo,,Japan,Japan,3,3,11801.21,1770.18,live
R17,Train from Kyoto to Tokyo(Green Car),updated,,6a2123144608f7d99aca3e45,across_city_transfer,across_city_transfer,Kyoto,Tokyo,Kyoto,Tokyo,from,to,Kyoto,,Japan,Japan,3,3,11898.75,1784.81,live
R18,Train from Tokyo to Osaka(Green Car),updated,,6a2123144608f7d99aca3e49,across_city_transfer,across_city_transfer,Tokyo,Osaka,Tokyo,Osaka,from,to,Tokyo,,Japan,Japan,3,3,12288.87,1843.33,live
R19,Train from Tokyo to Nagoya(Green Car),updated,,6a2123144608f7d99aca3e4d,across_city_transfer,across_city_transfer,Tokyo,Nagoya,Tokyo,Nagoya,from,to,Tokyo,,Japan,Japan,3,3,10143.19,1521.48,live
R20,Train from Tokyo to Nagona(Green Car),updated,,6a2123144608f7d99aca3e51,across_city_transfer,across_city_transfer,Tokyo,Nagano,Tokyo,Nagano,from,to,Tokyo,,Japan,Japan,3,3,7607.39,1141.11,live
R22,Train from Nagoya to Kyoto(Green Car),updated,,6a2123144608f7d99aca3e55,across_city_transfer,across_city_transfer,Nagoya,Kyoto,Nagoya,Kyoto,from,to,Nagoya,,Japan,Japan,3,3,5169.13,775.37,live
R23,Train from Nagoya to Osaka(Green Car),updated,,6a2123144608f7d99aca3e59,across_city_transfer,across_city_transfer,Nagoya,Osaka,Nagoya,Osaka,from,to,Nagoya,,Japan,Japan,3,3,5949.37,892.41,live
R24,Train from Tokyo to Hiroshima Shinkasen(Green Car),updated,,6a2123154608f7d99aca3e5d,across_city_transfer,across_city_transfer,Tokyo,Hiroshima Shinkasen,Tokyo,Hiroshima Shinkasen,from,to,Tokyo,,Japan,Japan,3,3,17848.12,2677.22,live
R25,Train from Kyoto to Hiroshima Shinkasen(Green Car),updated,,6a2123154608f7d99aca3e61,across_city_transfer,across_city_transfer,Kyoto,Hiroshima Shinkasen,Kyoto,Hiroshima Shinkasen,from,to,Kyoto,,Japan,Japan,3,3,10825.91,1623.89,live
R26,Train from Shin Osaka to Hiroshima Shinkasen(Green Car),updated,,6a2123154608f7d99aca3e65,across_city_transfer,across_city_transfer,Shin Osaka,Hiroshima Shinkasen,Shin Osaka,Hiroshima Shinkasen,from,to,Osaka,,Japan,Japan,3,3,9850.6,1477.59,live
T16,One way transfer from  Sapporo Hotel(Odori Park/Susukino) to Chitose Airport,updated,,6a2123154608f7d99aca3e69,across_city_transfer,across_city_transfer,Sapporo Hotel(Odori Park/Susukino),Chitose Airport,Sapporo,Chitose,from_city,to_city,"Chitose
Sapporo",,Japan,Japan,4,4,4876.53,731.48,live
T17,One way transfer from  Shin Osaka Station to Osaka City / Namba / Umeda,updated,,6a2123154608f7d99aca3e6e,within_city_transfer,within_city_transfer,Shin Osaka Station,Osaka City / Namba / Umeda,,,,,Osaka,Osaka,Japan,Japan,4,4,3413.57,512.04,live
